Clan,Name,Class,ParagonLvl,CombatRating,Status,Resonance,DMG,HP,Image,Contribution
AftershockUnitedGold,Uro,Barbarian,125,3012,True,1103,5316,56569,image,970
AftershockUnitedGold,Turlesmash,Barbarian,118,2859,True,1240,4575,59704,image,820
AftershockUnitedGold,Agagydal,Wizard,12,2995,True,1480,5104,57231,image,895
AftershockUnitedSilver,Rurank,Monk,112,1984,True,375,3870,38225,image,790
AftershockUnitedSilver,Bexley,Crusader,103,1784,True,530,3990,44236,image,775
,CaesarTownTC,,,,False,,,,,
AftershockUnitedPrime,Aquanoob,Monk,119,2731,True,435,4132,54009,image,810
AftershockUnitedGold,Melinco,Crusader,124,3052,True,785,4593,54344,image,1025
AftershockUnitedGold,EvilDot,Necromancer,118,2719,True,585,3874,54869,image,765
AftershockUnitedPrime,Hoegaarden,Necromancer,117,2761,True,330,4034,46137,image,705
AftershockUnitedSilver,Chockwave,Demon Hunter,117,2534,True,360,3716,46673,image,760
